"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherApparentTemperature","weatherTemperature","weatherPrecip","weatherPrecipType","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherLat","weatherLong"
"195",0.5,9.67,280,9.92,0.69,53.76,64.25,64.25,0,NA,"partly-cloudy-day","Partly Cloudy",1019.88,311.5,32.57,-117.12
"196",0.09,10,248,6.42,0.56,52.54,68.77,68.77,0,NA,"clear-day","Clear",1018.01,316.49,34.1,-117.78
"197",0.32,9.49,218,9.61,0.58,34.95,44.9,48.98,0,NA,"partly-cloudy-day","Partly Cloudy",1017.42,334.21,38.9,-120
"198",0.02,10,277,14.28,0.43,47.04,70.91,70.91,0,NA,"clear-day","Clear",1017.61,316.38,34.73,-118.22
"199",0.38,10,346,8.04,0.4,44.04,69.3,69.3,0,NA,"partly-cloudy-day","Partly Cloudy",1021.08,329.68,36.33,-119.95
"200",0.01,10,257,8.81,0.58,47.96,62.92,62.92,0,NA,"clear-day","Clear",1021.95,337.05,37.7,-121.82
"201",0.58,9.83,223,5.72,0.69,55.31,65.65,65.65,0,NA,"partly-cloudy-day","Partly Cloudy",1020.33,316.42,33.82,-118.15
"202",0.58,9.86,226,5.89,0.69,55.56,66.05,66.05,0,NA,"partly-cloudy-day","Partly Cloudy",1020.29,316.25,33.78,-118.05
"203",0.27,9.73,245,7.86,0.72,56.69,66.05,66.05,0,NA,"partly-cloudy-day","Partly Cloudy",1019.07,316.72,33.93,-118.4
"204",0.32,10,239,15.17,0.48,30.74,44.08,49.59,0,NA,"partly-cloudy-day","Partly Cloudy",1016.45,325.69,37.63,-118.92
"205",0.01,10,275,3.48,0.6,53.87,68.37,68.37,0,NA,"clear-day","Clear",1018.81,314.28,33.88,-117.27
"206",0.39,10,181,6.09,0.59,50.16,65.03,65.03,0,NA,"partly-cloudy-day","Partly Cloudy",1020.35,344.97,39.1,-121.57
"207",0.07,10,197,5.2,0.54,48.07,65.05,65.05,0,NA,"clear-day","Clear",1020.69,341.42,38.57,-121.3
"208",0.14,9.77,207,4.34,0.53,47.85,65.52,65.52,0,NA,"clear-day","Clear",1020.66,342.11,38.67,-121.4
"209",0.03,8.8,328,7.76,0.49,46.13,65.58,65.58,0,NA,"clear-day","Clear",1020.77,335.47,37.28,-120.52
"210",0.28,9.87,281,6.89,0.66,55.29,66.99,66.99,0,NA,"partly-cloudy-day","Partly Cloudy",1019.21,312.16,32.87,-117.15
"211",0.01,9.36,322,6.06,0.5,46.66,65.77,65.77,0,NA,"clear-day","Clear",1021.21,337.69,37.63,-120.95
"212",0.08,9.86,315,6.8,0.6,49.33,63.66,63.66,0,NA,"clear-day","Clear",1022.45,337,37.42,-122.05
"213",0.2,10,288,15.41,0.43,44.99,68.28,68.28,0,NA,"clear-day","Clear",1017.35,317.11,35.05,-118.15
"214",0.12,10,214,5.85,0.49,36.16,54.83,54.83,0,NA,"clear-day","Clear",1016.86,362.23,41.73,-122.53
"215",0.07,9.79,317,6.18,0.7,51.47,61.3,61.3,0,NA,"clear-day","Clear",1022.72,332.52,36.58,-121.85
"216",0.46,10,206,3.6,0.54,35.45,51.59,51.59,0,NA,"partly-cloudy-day","Partly Cloudy",1017.07,356.72,41.32,-122.32
"217",0.02,10,242,4.68,0.59,48.04,62.49,62.49,0,NA,"clear-day","Clear",1018.11,316.3,34.23,-118.07
"218",0.04,10,246,7.85,0.59,49.56,64.07,64.07,0,NA,"clear-day","Clear",1021.65,339.21,38.22,-122.28
"219",0,10,203,7.83,0.31,46.59,79.38,80.24,0,NA,"clear-day","Clear",1015.67,317.56,34.77,-114.62
"220",0.52,9.85,279,8.31,0.7,55.69,65.74,65.74,0,NA,"partly-cloudy-day","Partly Cloudy",1019.62,311.97,32.7,-117.2
"221",0.02,9.13,242,5.47,0.54,51.15,68.7,68.7,0,NA,"clear-day","Clear",1017.33,314.6,34.1,-117.23
"222",0.14,9.85,266,8.7,0.69,50.15,60.56,60.56,0,NA,"clear-day","Clear",1022.36,337.68,37.73,-122.22
"223",0.09,9.87,241,6.26,0.54,52.08,69.72,69.72,0,NA,"clear-day","Clear",1017.9,316.52,34.05,-117.62
"224",0.23,9.69,242,7.63,0.74,55.22,63.57,63.57,0,NA,"clear-day","Clear",1017.87,316.68,34.2,-119.2
"225",0.02,10,186,1.46,0.34,49.69,80.15,81.11,0,NA,"clear-day","Clear",1016.55,312.74,33.83,-116.5
"226",0.19,10,287,15.68,0.42,44.77,68.63,68.63,0,NA,"clear-day","Clear",1017.02,317.23,35.05,-118.13
"227",0.16,9.88,335,5.36,0.6,49.48,63.46,63.46,0,NA,"clear-day","Clear",1022.5,337.18,37.47,-122.12
"228",0.1,10,301,4.18,0.49,45.91,65.36,65.36,0,NA,"clear-day","Clear",1020.56,325.34,35.67,-120.63
"229",0.17,7.8,295,11.23,0.75,47.96,55.69,55.69,0,NA,"clear-day","Clear",1023,338.46,37.83,-122.83
"230",0.27,9.59,221,8.13,0.74,54.95,63.27,63.27,0,NA,"partly-cloudy-day","Partly Cloudy",1017.94,316.88,34.12,-119.12
"231",0.46,5.64,191,9.5,0.87,50.06,53.79,53.79,0,NA,"partly-cloudy-day","Partly Cloudy",1021.97,352.57,39.58,-124.22
"232",0.34,7.98,330,19.82,0.67,46.15,57.02,57.02,0,NA,"partly-cloudy-day","Partly Cloudy",1022.23,323.83,34.95,-121.12
"233",0.39,9.48,308,13.94,0.59,45.87,60.34,60.34,0,NA,"partly-cloudy-day","Partly Cloudy",1021.61,327.05,35.67,-121.28
"234",0.22,9.6,332,6.56,0.58,45.34,60.27,60.27,0,NA,"clear-day","Clear",1021.87,328.39,36.12,-121.47
"235",0.32,9.99,181,5.71,0.54,45.65,62.78,62.78,0,NA,"partly-cloudy-day","Partly Cloudy",1019.47,351.07,40.15,-122.25
"236",0.09,10,200,5.28,0.52,45.02,63.02,63.02,0,NA,"clear-day","Clear",1018.99,353.3,40.5,-122.3
"237",0.03,10,265,4.54,0.54,52.33,69.99,69.99,0,NA,"clear-day","Clear",1017.85,315.83,33.95,-117.45
"238",0.1,9.63,209,4.44,0.51,47.41,65.83,65.83,0,NA,"clear-day","Clear",1020.86,341.37,38.52,-121.5
"239",0.29,9.41,185,4.21,0.52,47.21,65.45,65.45,0,NA,"partly-cloudy-day","Partly Cloudy",1020.74,342.46,38.7,-121.6
"240",0.01,9.86,297,5.96,0.65,49.68,61.52,61.52,0,NA,"clear-day","Clear",1022.39,332.57,36.67,-121.6
"241",0.32,9.77,296,8.6,0.63,50.65,63.35,63.35,0,NA,"partly-cloudy-day","Partly Cloudy",1022.59,337.09,37.52,-122.25
"242",0.25,8.95,247,7.43,0.71,53.92,63.45,63.45,0,NA,"partly-cloudy-day","Partly Cloudy",1018.68,313.39,33.42,-117.62
"243",0.89,8.78,259,4.43,0.81,52.86,58.83,58.83,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.55,314.49,33.02,-118.58
"244",0.21,9.9,279,6.41,0.66,56.12,67.79,67.79,0,NA,"clear-day","Clear",1019.27,311.99,32.82,-117.13
"245",0.47,9.87,278,7.85,0.67,55.42,66.54,66.54,0,NA,"partly-cloudy-day","Partly Cloudy",1019.61,311.94,32.73,-117.17
"246",0.13,9.48,289,9,0.66,54.9,66.74,66.74,0,NA,"clear-day","Clear",1020.07,311.08,32.57,-116.98
"247",0.13,9.48,289,9,0.66,54.9,66.74,66.74,0,NA,"clear-day","Clear",1020.07,311.08,32.57,-116.98
"248",0.53,10,283,4.67,0.64,54.72,67.41,67.41,0,NA,"partly-cloudy-day","Partly Cloudy",1018.28,311.41,32.82,-116.97
"249",0.18,7.79,290,10.87,0.78,49.23,56.03,56.03,0,NA,"clear-day","Clear",1022.97,337.82,37.75,-122.68
"250",0.08,9.78,288,8.64,0.72,51.61,60.61,60.61,0,NA,"clear-day","Clear",1022.62,337.12,37.62,-122.38
"251",0.16,9.95,304,4.94,0.58,48.37,63.46,63.46,0,NA,"clear-day","Clear",1022.32,336.21,37.37,-121.92
"252",0.16,10,300,5.37,0.58,47.56,62.59,62.59,0,NA,"clear-day","Clear",1022.22,335.43,37.33,-121.82
"253",0.09,9.95,314,9.29,0.53,51.76,69.77,69.77,0,NA,"clear-day","Clear",1020.77,324.13,35.23,-120.65
"254",0.55,8.14,247,7.41,0.72,54.72,63.93,63.93,0,NA,"partly-cloudy-day","Partly Cloudy",1018.68,313.26,33.38,-117.58
"255",0.29,7.09,328,12.24,0.87,53.23,57.2,57.2,0,NA,"partly-cloudy-day","Partly Cloudy",1021.02,318.09,34.03,-120.4
"256",0.55,8.35,351,6.39,0.86,52.4,56.69,56.69,0,NA,"partly-cloudy-day","Partly Cloudy",1020.17,315.17,33.25,-119.45
"257",0.3,10,322,9.69,0.59,46.82,61.4,61.4,0,NA,"partly-cloudy-day","Partly Cloudy",1018.32,317.05,34.75,-118.73
"258",0.77,9.8,233,5.85,0.69,54.97,65.22,65.22,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.72,315.38,33.67,-117.88
"259",0.72,9.71,232,4.45,0.75,55.02,62.94,62.94,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.68,318.05,34.43,-119.83
"260",0.11,9.93,310,10.69,0.61,52.89,66.72,66.72,0,NA,"clear-day","Clear",1020.48,322.36,34.9,-120.45
"261",0.15,9.75,232,8.66,0.68,54.99,65.97,65.97,0,NA,"clear-day","Clear",1019.68,316.86,34.02,-118.45
"262",0.09,9.99,267,5.38,0.56,47.55,63.33,63.33,0,NA,"clear-day","Clear",1021.82,341.05,38.52,-122.82
"263",0.36,8.67,196,6.71,0.77,48.61,55.76,55.76,0,NA,"partly-cloudy-day","Partly Cloudy",1021.06,355.17,40.03,-124.07
"264",0.12,10,218,6.36,0.48,35.27,54.39,54.39,0,NA,"clear-day","Clear",1016.81,362.25,41.78,-122.47
"265",0.01,9.93,283,6.11,0.51,47.62,66.33,66.33,0,NA,"clear-day","Clear",1021.29,338.35,37.9,-121.25
"266",0.01,10,234,14.29,0.37,42.57,70.34,70.34,0,NA,"clear-day","Clear",1016.08,317.13,35.33,-117.1
"267",0.87,9.88,234,10.2,0.69,37.29,42.1,46.88,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.71,345.04,40.63,-120.95
"268",0,10,154,4.64,0.32,48.22,79.84,80.81,0,NA,"clear-day","Clear",1016.28,313.8,33.63,-116.17
"269",0.18,9.64,245,4.74,0.72,56.25,65.71,65.71,0,NA,"clear-day","Clear",1019.11,316.41,33.8,-118.33
"270",0.09,10,256,8.1,0.53,47.25,64.72,64.72,0,NA,"clear-day","Clear",1021.48,339.49,38.27,-121.93
"271",0.4,9.29,224,10.37,0.57,34.54,44.81,49.11,0,NA,"partly-cloudy-day","Partly Cloudy",1017.27,336.94,39.32,-120.13
"272",0.73,9.83,237,5.63,0.67,55.3,66.63,66.63,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.62,315.35,33.7,-117.83
"273",0,10,164,5.12,0.29,39.55,74.11,74.11,0,NA,"clear-day","Clear",1016.87,314.67,34.28,-116.15
"274",0.05,10,312,2.94,0.5,42.56,61.12,61.12,0,NA,"clear-day","Clear",1021.42,344.08,39.13,-123.2
"275",0.02,9.71,208,4.2,0.57,52.56,68.61,68.61,0,NA,"clear-day","Clear",1018.62,317.1,34.22,-118.48
"276",0.07,9.24,322,16.94,0.61,46.03,59.57,59.57,0,NA,"clear-day","Clear",1022.03,324.74,35.2,-120.95
"277",0.07,9.24,322,16.94,0.61,46.03,59.57,59.57,0,NA,"clear-day","Clear",1022.03,324.74,35.2,-120.95
"278",0.17,10,314,6.39,0.55,51.46,68.04,68.04,0,NA,"clear-day","Clear",1019.33,328.84,36.32,-119.4
"279",0.35,9.81,158,0.93,0.42,29.19,51.2,51.2,0,NA,"partly-cloudy-day","Partly Cloudy",1013.37,317.96,39.52,-105.35
"280",0,10,182,4,0.29,37.44,71.49,71.49,0,NA,"clear-day","Clear",1011.4,327.56,40.17,-103.22
"281",0.09,10,280,1.03,0.4,33.74,57.76,57.76,0.0033,NA,"clear-day","Clear",1014.15,320.07,37.45,-105.87
"282",0.4,8.58,266,5.15,0.44,32.51,53.97,53.97,0.0089,NA,"rain","Drizzle",1015.03,320.77,39.22,-106.87
"283",0.39,10,139,2.75,0.28,33.47,68.03,68.03,0,NA,"partly-cloudy-day","Partly Cloudy",1012.65,321.29,39.9,-105.12
"284",0.17,10,72,0.44,0.28,33.28,67.62,67.62,0,NA,"clear-day","Clear",1012.41,320.84,39.72,-104.75
"285",0.64,9.98,138,4.77,0.33,35.46,65.42,65.42,0,NA,"partly-cloudy-day","Mostly Cloudy",1013.19,318.12,38.82,-104.72
"286",0.04,10,278,9.4,0.35,35.05,63.14,63.14,0,NA,"clear-day","Clear",1014.87,327.58,37.3,-108.63
"287",0.26,10,235,9.6,0.37,34.23,60.99,60.99,0.0035,NA,"partly-cloudy-day","Partly Cloudy",1013.08,326.9,40.5,-107.53
"288",0.17,6.83,105,0.54,0.27,33.53,68.96,68.96,0,NA,"clear-day","Clear",1012.51,321.21,39.75,-104.87
"289",0.07,10,254,10.59,0.38,35.97,62.2,62.2,0.001,NA,"clear-day","Clear",1014.74,326.94,37.15,-107.75
"290",0.17,10,228,4.58,0.43,36.16,58.74,58.74,0.0095,NA,"rain","Drizzle",1014.68,322.03,39.65,-106.92
"291",0.17,10,95,1.71,0.28,32.97,66.84,66.84,0,NA,"clear-day","Clear",1012.66,320.05,39.57,-104.83
"292",0.23,10,131,5.1,0.35,36.89,65.42,65.42,0.0024,NA,"clear-day","Clear",1013.22,318.85,38.68,-104.77
"293",0.61,9.36,206,1.15,0.47,26.72,45.59,45.59,0.0104,NA,"rain","Light Rain",1013.57,317.21,39.57,-105.5
"294",0.03,8.09,145,4.52,0.28,35.12,70.06,70.06,0,NA,"clear-day","Clear",1012.05,325.2,40.45,-105.02
"295",0.04,10,151,4.81,0.28,35.27,69.92,69.92,0,NA,"clear-day","Clear",1012.03,324.66,40.58,-105.08
"296",0.07,10,272,2.43,0.31,36.15,67.81,67.81,0.0016,NA,"clear-day","Clear",1013.86,331.53,39.12,-108.53
"297",0,10,161,4.73,0.25,33.71,71.94,71.94,0,NA,"clear-day","Clear",1011.63,325.38,40.43,-104.63
"298",0.17,10,268,5.88,0.51,36.42,53.91,53.91,0.0051,NA,"clear-day","Clear",1014.78,324.83,38.55,-106.93
"299",0.17,10,268,5.93,0.52,36.47,53.88,53.88,0.0052,NA,"clear-day","Clear",1014.78,324.77,38.55,-106.92
"300",0,10,135,3.37,0.31,38.82,71.13,71.13,0,NA,"clear-day","Clear",1012.07,323.57,38.05,-103.52
"301",0.01,10,147,4.54,0.38,44.86,71.83,71.83,0,NA,"clear-day","Clear",1012.07,326.27,38.12,-102.6
"302",0.46,9.75,296,2.83,0.52,28.36,45.14,45.14,0,NA,"partly-cloudy-day","Partly Cloudy",1014.55,318.99,39.25,-106.3
"303",0.12,9.98,119,5.86,0.33,36.56,66.78,66.78,0,NA,"clear-day","Clear",1012.05,320.51,39.18,-103.7
"304",0.04,10,328,3.33,0.32,34.96,65.57,65.57,8e-04,NA,"clear-day","Clear",1014.43,328.39,38.5,-107.88
"305",0.04,10,333,3.36,0.32,35.21,65.87,65.87,0,NA,"clear-day","Clear",1014.43,328.39,38.5,-107.88
"306",0.06,10,120,7.25,0.28,36.51,71.14,71.14,0,NA,"clear-day","Clear",1015.5,319.52,38.28,-104.52
"307",0.14,10,236,5.67,0.35,33.76,61.44,61.44,0.0011,NA,"clear-day","Clear",1014.35,326.95,39.53,-107.8
"308",0.24,9.98,210,1.91,0.37,28.85,54.27,54.27,0,NA,"clear-day","Clear",1014.12,321.81,38.53,-106.05
"309",0.04,10,226,4.18,0.45,32.58,53.32,53.32,0,NA,"clear-day","Clear",1013.8,323.83,40.48,-106.82
"310",0.19,10,95,5.27,0.29,33.38,66.61,66.61,0,NA,"clear-day","Clear",1012.92,320.93,37.25,-104.33
"311",0.26,9.93,271,1.85,0.56,34.42,49.63,49.63,0,NA,"partly-cloudy-day","Partly Cloudy",1014.16,319.88,40,-105.87
"312",0.07,10,177,4.52,0.47,30.99,50.41,50.41,0,NA,"clear-day","Clear",1027.26,348.58,41.17,-73.13
"313",0.11,10,17,3.73,0.44,31.79,53.29,53.29,0,NA,"clear-day","Clear",1027.21,349.52,41.37,-73.48
"314",0.05,10,155,6.63,0.55,33.49,45.96,48.83,0,NA,"clear-day","Clear",1026.95,348.8,41.33,-72.05
"315",0.04,10,2,4.03,0.4,30.86,54.66,54.66,0,NA,"clear-day","Clear",1027.06,350.28,41.73,-72.65
"316",0.14,10,171,4,0.5,31.22,47.89,49.15,0,NA,"clear-day","Clear",1027.13,348.4,41.22,-72.67
"317",0.1,10,145,2.84,0.49,32.94,51.73,51.73,0,NA,"clear-day","Clear",1027.15,348.53,41.27,-72.88
"318",0.1,10,143,2.96,0.49,32.76,51.54,51.54,0,NA,"clear-day","Clear",1027.15,348.53,41.27,-72.9
"319",0.07,10,169,6.71,0.57,33.87,45.66,48.62,0,NA,"clear-day","Clear",1026.97,348.72,41.3,-72.08
"320",0.14,10,24,3.59,0.39,29.98,54.26,54.26,0,NA,"clear-day","Clear",1027.11,351.48,41.93,-72.68
"321",0,10,8,5.32,0.41,30.54,53.37,53.37,0,NA,"clear-day","Clear",1027.57,348.72,39.13,-75.47
"322",0,10,67,1.95,0.36,28.04,54.16,54.16,0,NA,"clear-day","Clear",1027.54,349.48,39.67,-75.6
"323",0,8.31,19,2.22,0.37,30.08,55.86,55.86,0,NA,"clear-day","Clear",1027.24,350.8,38.95,-77.46
"324",0.04,10,40,3.8,0.35,28.6,55.91,55.91,0,NA,"clear-day","Clear",1027.21,350.25,38.85,-77.04
"325",1,9.35,107,8.75,0.81,64.89,71.15,71.15,0.0155,NA,"rain","Light Rain",1018.94,299.91,29.73,-85.03
"326",0.47,9.82,31,4.65,0.59,64.47,81.74,80.01,0,NA,"partly-cloudy-day","Partly Cloudy",1016.97,308.56,29.12,-81.57
"327",0.62,9.22,345,0.37,0.55,65.14,84.64,82.79,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.49,303.46,28.08,-81.55
"328",0.26,9.25,37,8.84,0.72,65.44,75.13,75.13,0,NA,"partly-cloudy-day","Partly Cloudy",1017.96,308.57,28.47,-80.55
"329",0.82,9.69,42,9.91,0.71,65.54,75.56,75.56,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.12,311.97,30.22,-81.88
"330",0.74,5.61,127,5.48,0.86,66.71,71.28,71.28,0.0827,NA,"rain","Rain",1017.27,297.26,30.78,-86.52
"331",0.97,9.85,37,6.28,0.59,64.53,82.06,80.34,0,NA,"cloudy","Overcast",1018.12,305.62,29.62,-83.1
"332",0.45,9.79,14,9.3,0.68,64.54,75.71,75.71,0,NA,"partly-cloudy-day","Partly Cloudy",1017.46,310.79,29.18,-81.05
"333",0.83,4.38,130,6.37,0.87,66.5,70.54,70.54,0.078,NA,"rain","Rain",1017.27,296.99,30.65,-86.52
"334",0.74,4.56,157,5.37,0.9,65.8,69.01,69.01,0.1247,NA,"rain","Rain",1017.36,296.62,30.48,-86.53
"335",0.2,8.69,306,5.81,0.62,63.44,77.3,77.3,0,NA,"clear-day","Clear",1017.21,299.61,27.6,-82.77
"336",0.13,10,96,5.9,0.61,65.63,82.52,80.52,0,NA,"clear-day","Clear",1017.41,296.07,26.13,-80.13
"337",0.48,9.94,238,6.48,0.56,65.82,85.44,83.32,0,NA,"partly-cloudy-day","Partly Cloudy",1016.81,295.47,26.58,-81.87
"338",0.15,10,93,5.98,0.6,66.14,83.67,81.48,0,NA,"clear-day","Clear",1017.38,295.78,26.07,-80.15
"339",0.45,9.94,222,4.89,0.54,65.3,85.47,83.56,0,NA,"partly-cloudy-day","Partly Cloudy",1016.78,295.82,26.65,-81.87
"340",0.71,9.91,39,6.79,0.65,64.99,77.58,77.58,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.4,308.79,29.68,-82.27
"341",0.07,10,105,6.02,0.57,64.17,82.63,81.04,0,NA,"clear-day","Clear",1017.34,293.68,25.48,-80.38
"342",0.96,3.91,157,4.69,0.92,65.82,68.23,68.23,0.0632,NA,"rain","Rain",1017.38,296.25,30.43,-86.68
"343",0.82,9.68,33,12.53,0.79,64.13,71.11,71.11,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.1,313.68,30.33,-81.52
"344",0.55,9.75,44,11.93,0.76,64.05,72.16,72.16,0,NA,"partly-cloudy-day","Partly Cloudy",1018.92,313.32,30.5,-81.7
"345",0.62,9.6,39,9.43,0.74,64.66,73.66,73.66,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.15,312.82,30.23,-81.68
"346",0.02,9.71,92,9.37,0.71,69.66,83.17,80.09,0,NA,"clear-day","Clear",1017.2,288.28,24.55,-81.75
"347",0.03,9.69,95,10.05,0.7,69.35,83.13,80.13,0,NA,"clear-day","Clear",1016.81,288.52,24.57,-81.68
"348",0.55,9.81,206,0.86,0.54,64.33,84.18,82.62,0,NA,"partly-cloudy-day","Partly Cloudy",1016.5,302.52,28.03,-81.95
"349",0.33,9.96,266,4.52,0.55,64.3,83.81,82.23,0,NA,"partly-cloudy-day","Partly Cloudy",1017.68,301.02,27.85,-82.52
"350",1,9.32,110,5.46,0.67,65.1,76.9,76.9,0.0199,NA,"rain","Light Rain",1017.5,301.6,30.84,-85.18
"351",0.85,9.62,22,13.28,0.82,63.71,69.5,69.5,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.2,314.25,30.4,-81.42
"352",0.56,9.86,71,8.06,0.69,66.77,77.8,77.8,0,NA,"partly-cloudy-day","Partly Cloudy",1018.04,306.08,28.1,-80.63
"353",0.17,10,90,6.02,0.53,64.23,84.94,83.44,0,NA,"clear-day","Clear",1016.82,294.72,25.82,-80.28
"354",0.09,10,89,6.95,0.53,64.73,85.41,83.72,0,NA,"clear-day","Clear",1016.79,294.98,25.92,-80.28
"355",0.02,10,97,7.25,0.52,64.41,85.37,83.82,0,NA,"clear-day","Clear",1017.37,294.01,25.65,-80.43
"356",0.14,9.9,210,8.04,0.57,64.08,82.4,80.82,0,NA,"clear-day","Clear",1016.94,293.74,26.13,-81.8
"357",0.65,9.71,29,7.2,0.73,66.63,76.12,76.12,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.95,308.96,28.62,-80.68
"358",0.59,9.88,52,4.27,0.57,65.74,84.64,82.56,0,NA,"partly-cloudy-day","Partly Cloudy",1016.7,305.82,28.43,-81.32
"359",0.82,9.93,32,4.78,0.58,65.69,84.01,81.95,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.75,306.4,28.55,-81.33
"360",0.74,6.02,208,5.27,0.83,67.27,72.71,72.71,0.0223,NA,"rain","Light Rain",1017.49,298.16,30.2,-85.68
"361",0.17,9.76,66,9.52,0.71,67.34,77.62,77.62,0,NA,"clear-day","Clear",1018.01,306.95,28.23,-80.6
"362",0.88,2.06,31,3.58,0.95,65.41,66.79,66.79,0.0368,NA,"rain","Light Rain",1017.29,294.86,30.35,-87.32
"363",0.86,2.79,101,0.59,0.95,65.48,66.93,66.93,0.0682,NA,"rain","Rain",1017.26,295.36,30.47,-87.2
"364",0.26,9.87,266,4.52,0.59,66.17,84.19,81.97,0,NA,"partly-cloudy-day","Partly Cloudy",1017.75,301.48,27.97,-82.6
"365",0.17,9.76,302,5.31,0.63,67.34,83.73,81.16,0,NA,"clear-day","Clear",1017.09,301.16,27.92,-82.68
"366",0.79,9.95,27,6.39,0.61,66.52,83.75,81.43,0,NA,"partly-cloudy-day","Mostly Cloudy",1016.93,307.83,28.78,-81.25
"367",0.13,9.98,252,7.08,0.63,64.44,77.85,77.85,0,NA,"clear-day","Clear",1017.22,298.86,27.4,-82.55
"368",0.86,9.44,108,5.66,0.62,64.18,78.09,78.09,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.42,302.77,30.38,-84.37
"369",0.31,9.95,258,2.33,0.57,65.76,84.82,82.73,0,NA,"partly-cloudy-day","Partly Cloudy",1017.73,301.57,27.97,-82.53
"370",0.68,8.66,29,7.55,0.71,67.97,78.22,78.22,0,NA,"partly-cloudy-day","Mostly Cloudy",1017.89,307.97,28.52,-80.8
"371",0.8,8.68,150,4.79,0.83,66.27,71.76,71.76,0.0516,NA,"rain","Light Rain",1017.55,298.2,30.07,-85.58
"372",0,9.92,88,7.36,0.61,66.66,83.8,81.43,0,NA,"clear-day","Clear",1017.21,303.63,27.65,-80.42
"373",0.33,9.99,84,7.28,0.59,65.42,83.17,81.22,0,NA,"partly-cloudy-day","Partly Cloudy",1018.09,298.52,26.68,-80.12
"374",0.61,2.12,151,2.93,0.94,65.66,67.5,67.5,0.072,NA,"rain","Rain",1017.18,296.12,30.72,-87.02
"375",0.5,9.75,80,9.88,0.64,61.87,74.69,74.69,0,NA,"partly-cloudy-day","Partly Cloudy",1018.35,306.51,31.53,-84.18
"376",0.48,9.8,73,8.17,0.75,60.34,68.55,68.55,0,NA,"partly-cloudy-day","Partly Cloudy",1019.1,311.17,31.53,-82.52
"377",0.6,10,101,5.39,0.62,54.1,67.39,67.39,0,NA,"partly-cloudy-day","Mostly Cloudy",1022.29,315.09,33.95,-83.32
"378",0.92,9.72,100,7.61,0.66,53.08,64.71,64.71,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.35,311,33.65,-84.42
"379",0.92,9.68,100,7.54,0.67,53.22,64.57,64.57,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.35,311,33.65,-84.42
"380",1,8.62,92,5.61,0.62,52.6,65.98,65.98,0,NA,"cloudy","Overcast",1021.66,312.07,33.88,-84.3
"381",0.97,9.35,99,6.48,0.64,52.78,65.37,65.37,0,NA,"cloudy","Overcast",1021.96,311.2,33.78,-84.52
"382",0.85,10,49,8.16,0.65,56.12,68.46,68.46,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.94,317.98,33.37,-81.97
"383",0.84,9.69,35,15.81,0.83,60.86,66.1,66.1,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.29,315.34,31.15,-81.38
"384",1,7.83,93,8.77,0.85,60.45,65.1,65.1,0,NA,"cloudy","Overcast",1020.26,305.99,32.52,-84.93
"385",0.91,9.23,107,7.29,0.61,52.12,66.06,66.06,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.95,311.69,33.92,-84.52
"386",0.98,10,135,6.93,0.51,50.37,69.54,69.54,0,NA,"cloudy","Overcast",1021.34,313.65,34.53,-84.87
"387",1,9.5,77,9.68,0.82,61.88,67.59,67.59,0,NA,"cloudy","Overcast",1020.05,305.47,32.33,-85
"388",0.83,9.82,67,8.08,0.73,60.21,69.35,69.35,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.69,315.47,31.88,-81.57
"389",0.68,9.52,51,13.19,0.74,61.18,69.82,69.82,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.72,317.49,32.02,-81.15
"390",1,9.68,87,6.52,0.81,60.82,67.01,67.01,0,NA,"cloudy","Overcast",1020.01,307.11,33.01,-85.07
"391",0.99,9.81,62,9.61,0.75,58.11,66.39,66.39,0,NA,"cloudy","Overcast",1020.36,309.91,32.7,-83.65
"392",0.74,9.81,74,7.26,0.71,60.59,70.33,70.33,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.31,308.76,30.97,-83.2
"393",0.99,9.75,61,8.65,0.74,58.81,67.29,67.29,0,NA,"cloudy","Overcast",1020.28,309.88,32.63,-83.6
"394",0.7,10,122,5.46,0.57,51.79,67.42,67.42,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.04,312.13,34.35,-85.17
